,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
181,5.730490684509277,0.09406347185045195,0.43897428512573244,0.01918524686469282,10,,10,rbf,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 10, 'model__kernel': 'rbf'}",0.8852354895446551,0.8842461403165918,0.8529045339065859,0.8927472151651358,0.8898835516739447,0.8810033861213826,0.014385732590275804,124
223,5.668435335159302,0.04605230432254622,0.4447298526763916,0.014556348256454849,100,,10,rbf,"{'model__C': 100, 'model__class_weight': None, 'model__gamma': 10, 'model__kernel': 'rbf'}",0.8852354895446551,0.8842461403165918,0.8529045339065859,0.8927472151651358,0.8898835516739447,0.8810033861213826,0.014385732590275804,124
265,5.71188325881958,0.13154819223728334,0.45424275398254393,0.009649914331695068,1000,,10,rbf,"{'model__C': 1000, 'model__class_weight': None, 'model__gamma': 10, 'model__kernel': 'rbf'}",0.8852354895446551,0.8842461403165918,0.8529045339065859,0.8927472151651358,0.8898835516739447,0.8810033861213826,0.014385732590275804,124
202,5.73856406211853,0.11278689091627624,0.44889230728149415,0.026091850244476116,10,balanced,10,rbf,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 10, 'model__kernel': 'rbf'}",0.8843316396325972,0.8841972835645886,0.8529045339065859,0.8925884307211257,0.8898835516739447,0.8807810878997684,0.014308370027532118,127
286,5.642496347427368,0.07994184402414165,0.43762598037719724,0.02084620592576619,1000,balanced,10,rbf,"{'model__C': 1000, 'model__class_weight': 'balanced', 'model__gamma': 10, 'model__kernel': 'rbf'}",0.8843316396325972,0.8841972835645886,0.8529045339065859,0.8925884307211257,0.8898835516739447,0.8807810878997684,0.014308370027532118,127
244,5.733787202835083,0.030205313400203375,0.44074091911315916,0.013791048094427147,100,balanced,10,rbf,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__gamma': 10, 'model__kernel': 'rbf'}",0.8843316396325972,0.8841972835645886,0.8529045339065859,0.8925884307211257,0.8898835516739447,0.8807810878997684,0.014308370027532118,127
70,5.467802047729492,0.08400436854560757,0.47452740669250487,0.00705405329964813,0.01,balanced,0.1,rbf,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8658637873754153,0.8733510846198945,0.8604529020910691,0.8955809067813171,0.905870936438622,0.8802239234612635,0.017538237765051527,130
28,5.40005202293396,0.05660385381248204,0.4873765468597412,0.025969920075312285,0.001,balanced,0.1,rbf,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8658637873754153,0.8733510846198945,0.8604529020910691,0.8955809067813171,0.905870936438622,0.8802239234612635,0.017538237765051527,130
220,2.085521364212036,0.06858297516372734,0.1598501205444336,0.006050044964899863,100,,1,rbf,"{'model__C': 100, 'model__class_weight': None, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.8969244674614032,0.8787131131522375,0.8567764315028337,0.8769420558921242,0.8757035419699176,0.8770119219957033,0.012732598582582876,132
241,2.1236864566802978,0.049938702189376946,0.15886716842651366,0.01419428268315787,100,balanced,1,rbf,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__gamma': 1, 'model__kernel': 'rbf'}",0.8978038889974596,0.87421829196795,0.8577047097908932,0.8752564979480165,0.8749514798641436,0.8759869737136926,0.012766777542640695,133
262,2.0997833728790285,0.0830845891537406,0.15882010459899903,0.011172494778038793,1000,,1,rbf,"{'model__C': 1000, 'model__class_weight': None, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.8940785616572209,0.8762092046120773,0.8565810044948212,0.8774306234121555,0.8745026686074722,0.8757604125567493,0.011899388375252277,134
283,2.0706274032592775,0.021309535130457552,0.15415573120117188,0.0062235148776159585,1000,balanced,1,rbf,"{'model__C': 1000, 'model__class_weight': 'balanced', 'model__gamma': 1, 'model__kernel': 'rbf'}",0.8972298221614227,0.8714456712917725,0.8565810044948212,0.8755374242720344,0.8745026686074722,0.8750593181655045,0.013012119054579661,135
25,5.387336111068725,0.08974851823115941,0.47947235107421876,0.02479133322007454,0.001,balanced,0.01,rbf,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.855139730310729,0.8681844830955637,0.8497777017783859,0.8916967949970686,0.9002062105773896,0.8730009841518275,0.019855485909062446,136
67,5.432446146011353,0.09224474635335785,0.486906909942627,0.020494104510636643,0.01,balanced,0.01,rbf,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.855139730310729,0.8681844830955637,0.8497777017783859,0.8916967949970686,0.9002062105773896,0.8730009841518275,0.019855485909062446,136
22,5.362114524841308,0.0805559819296678,0.4597490310668945,0.02109798000949668,0.001,balanced,0.001,rbf,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.8541748094586672,0.8674394176275161,0.8490082079343365,0.8909761579050224,0.8996482290150413,0.8722493643881167,0.019956788595943725,138
106,5.3752518653869625,0.0861589802667834,0.46404294967651366,0.02026428711609154,0.1,balanced,0.001,rbf,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.8541748094586672,0.8674394176275161,0.8490082079343365,0.8909761579050224,0.8996482290150413,0.8722493643881167,0.019956788595943725,138
64,5.319579029083252,0.03372240655372029,0.45980162620544435,0.004360178413826565,0.01,balanced,0.001,rbf,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.8541748094586672,0.8674394176275161,0.8490082079343365,0.8909761579050224,0.8996482290150413,0.8722493643881167,0.019956788595943725,138
23,4.123787260055542,0.05578021730982762,0.15532326698303223,0.008952917485098685,0.001,balanced,0.001,sigmoid,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.8540038108266562,0.8673539183115105,0.8488982802423297,0.8909150869650185,0.8995633187772926,0.8721468830245614,0.019982730240781253,141
27,3.6873922824859617,0.07866678550476301,0.13244252204895018,0.002906195949963951,0.001,balanced,0.1,linear,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__gamma': 0.1, 'model__kernel': 'linear'}",0.8540038108266562,0.8673539183115105,0.8488982802423297,0.8909150869650185,0.8995633187772926,0.8721468830245614,0.019982730240781253,141
